asset_id;total_cost;rank
S61450A;3979,0;277
S31452;3975,0;278
S61554;3949,08;279
15814;3934,0;280
81451;3927,0;281
S09334A;3925,0;282
S40991;3918,434;283
S37485;3917,0;284
11547;3894,0;285
95815;3888,0;286
S41810;3882,0;287
80885;3864,0;288
50990;3859,0;289
S01450;3847,309;290
16333;3845,0;291
X2445;3842,15;292
S71950;3840,0;293
80994;3821,352;294
30892;3811,0;295
20955;3810,03;296
S41559;3808,496;297
16326;3807,0;298
S41545;3797,666;299
70959;3794,265;300
15850;3794,0;301
S09307;3790,0;302
70951;3750,066;303
S08331;3749,0;304
S20940;3747,0;305
38570;3741,0;306
91453;3739,0;307
S00904;3729,0;308
X0190;3728,33;309
50957;3725,633;310
80995;3724,093;311
62550;3723,0;312
00905;3707,506;313
S95830A;3698,388;314
91468;3684,0;315
S40957;3679,0;316
S12329;3678,0;317
S09312;3676,335;318
S71892;3672,0;319
11548;3656,589;320
80954;3649,775;321
81700;3640,33;322
50992;3629,385;323
77475;3605,0;324
91467;3595,476;325
DE31680;3589,0;326
S08340;3538,0;327
50951;3537,0;328
65870;3532,0;329
37965;3532,0;330
81658;3529,123;331
10312;3527,0;332
S91000;3526,0;333
S09316;3524,0;334
05870;3518,0;335
83595;3517,0;336
11546;3515,509;337
S06322;3513,0;338
S60800;3512,0;339
S11300;3509,0;340
60902;3500,0;341
30894;3495,0;342
61812;3492,96;343
S08375;3476,0;344
S11324;3471,0;345
70814;3469,743;346
S09326;3469,0;347
S21451;3468,2;348
17337;3468,0;349
S61955;3465,0;350
50952;3460,553;351
S45810;3457,566;352
S91570;3442,0;353
09313;3433,0;354
91655;3429,284;355
S06181;3429,0;356
S51562;3425,588;357
16337;3421,246;358
80962;3412,0;359
90971;3412,0;360
10313;3395,0;361
70915;3388,0;362
00980;3386,0;363
S12305;3375,0;364
S41551A;3363,153;365
S12319;3362,0;366
S08351;3350,0;367
S08307;3349,0;368
60963;3342,0;369
91610;3341,537;370
40935;3335,0;371
01548;3324,0;372
11319;3323,0;373
71890;3318,0;374
91940;3317,0;375
60952;3314,08;376
77454;3311,0;377
16347;3297,0;378
09331;3291,0;379
62850;3287,0;380
21812;3284,078;381
05811;3277,0;382
95832;3269,0;383
S08352;3264,0;384
01894;3262,34;385
11674;3249,0;386
15851;3247,374;387
21760;3246,0;388
70810;3241,0;389
57489;3240,0;390
S90845B;3239,0;391
80960;3237,0;392
DE51453;3231,0;393
S01453;3215,0;394
S45831;3212,208;395
81559;3204,0;396
S92850;3193,0;397
50996;3192,0;398
S08338;3189,0;399
15332;3186,0;400
17323;3185,0;401
16309;3179,0;402
S10301;3177,0;403
01450;3173,0;404
S51003;3170,116;405
S08350;3169,0;406
S01573;3164,0;407
85810;3154,718;408
S12322;3147,0;409
S11321;3146,0;410
17331;3145,0;411
70816;3139,0;412
70991;3132,055;413
S51561;3126,086;414
97459;3126,0;415
70956;3120,836;416
S12326;3117,313;417
S08372;3115,452;418
41910;3112,967;419
S09325;3105,0;420
15317;3101,0;421
18309;3093,0;422
62838;3089,06;423
90972;3089,0;424
S11304;3087,0;425
S00678A;3085,212;426
16308;3085,0;427
S40881;3080,0;428
30810;3071,0;429
12318;3060,0;430
S08304;3060,0;431
S90850A;3056,0;432
62551;3055,0;433
70952;3047,0;434
80647;3045,0;435
20953;3040,0;436
60964;3039,252;437
55810;3029,0;438
S10810A;3028,0;439
05830;3020,0;440
15309;3019,0;441
81000;3018,0;442
S91453;3015,0;443
S90849A;3013,0;444
16302;3013,0;445
S91454;3008,0;446
S70903;3005,0;447
15830;2998,098;448
S91450;2983,0;449
62690;2975,372;450
16327;2967,307;451
42673;2958,0;452
S16341;2956,0;453
S18302;2956,0;454
85812;2945,625;455
97453;2945,0;456
DE91451;2935,0;457
20691;2925,157;458
S11811;2919,0;459
20891;2916,0;460
42863;2916,0;461
DE41674;2915,0;462
11675;2906,035;463
18326;2902,0;464
S08365;2901,0;465
40891;2896,0;466
00814;2896,0;467
30893;2891,476;468
20910;2885,716;469
91466;2885,0;470
S00932;2884,423;471
80681;2882,0;472
90980;2880,0;473
S12325;2880,0;474
S91780;2872,0;475
01551;2868,092;476
20892;2864,908;477
S40960;2864,0;478
16329;2862,277;479
S90854A;2849,176;480
20930;2848,0;481
16346;2846,0;482
S71710;2846,0;483
70916;2845,149;484
60962;2842,294;485
57453;2840,0;486
70853;2839,086;487
11545;2834,0;488
45970;2833,0;489
S17319;2827,0;490
S21573;2824,0;491
S15334;2824,0;492
15310;2814,0;493
47477;2811,0;494
37477;2810,0;495
60951;2805,325;496
DE28926;2803,0;497
S02552;2802,0;498
12670;2799,363;499
S16340;2799,0;500
05120;2795,0;501
S70741;2793,0;502
S90872A;2787,0;503
S11303;2760,0;504
S90855A;2755,0;505
16342;2753,0;506
31910;2752,0;507
S11307;2751,0;508
S11315;2747,0;509
S11314;2746,0;510
S10815A;2745,0;511
S47557;2740,381;512
30870;2738,108;513
70806;2721,0;514
S16324;2716,0;515
71870;2714,388;516
17451;2712,0;517
S10315;2709,0;518
17343;2706,0;519
90693;2699,481;520
05871;2699,0;521
00990;2690,0;522
S81451;2688,0;523
S65810A;2686,335;524
16350;2686,0;525
S00903;2681,886;526
S80815A;2676,0;527
S80958;2676,0;528
27479;2676,0;529
07476;2674,456;530
S15301;2673,0;531
09185;2672,0;532
S30901;2665,0;533
17314;2665,0;534
70992;2659,0;535
S70969;2650,0;536
S10835A;2642,0;537
17481;2638,0;538
73675;2637,0;539
35971;2636,0;540
S15312;2633,0;541
S08371;2632,0;542
S15336;2632,0;543
S08366;2630,0;544
77460;2628,0;545
16343;2627,0;546
S10307;2626,0;547
S15306;2624,0;548
S20693A;2623,0;549
S08359;2623,0;550
S00906;2622,476;551
S41546;2622,438;552
97483;2619,0;553
10870;2615,0;554
92692;2614,0;555
80959;2611,04;556
S11309;2601,0;557
01552;2601,0;558
DE41452;2596,0;559
55890;2595,63;560
51671;2594,767;561
S70966;2594,571;562
41610;2593,536;563
S61740A;2590,192;564
71893;2589,283;565
S60676;2589,0;566
S10317;2584,326;567
97452;2580,0;568
70815;2578,0;569
S90852A;2574,0;570
00604;2569,0;571
S08308;2568,0;572
S31890A;2566,0;573
81553;2565,0;574
60960;2562,105;575
57472;2556,0;576
S61683;2543,009;577
S41550;2542,427;578
17315;2542,236;579
10846;2542,0;580
90970;2541,0;581
S50994;2540,038;582
42817;2540,0;583
40813;2536,0;584
12316;2534,18;585
15308;2533,0;586
11917;2530,0;587
10910;2529,0;588
S13310;2528,0;589
53585;2522,0;590
11322;2515,0;591
S11549;2511,0;592
70807;2505,0;593
72552;2503,067;594
83596;2502,0;595
12313;2500,0;596
13305;2498,0;597
S10314;2497,0;598
S17329;2495,0;599
60893;2495,0;600
10200;2492,0;601
70990;2491,683;602
S00839;2485,0;603
50882;2482,266;604
00908;2477,25;605
10903;2477,0;606
S61951;2461,0;607
75831;2459,87;608
10201;2457,0;609
70881;2457,0;610
00871;2456,0;611
S35832;2449,0;612
47478;2447,0;613
20600;2441,0;614
X0248;2439,0;615
S12308;2439,0;616
S09314;2435,0;617
70913;2434,0;618
40951;2432,0;619
S57466;2425,0;620
94590;2425,0;621
02551;2421,157;622
S12309;2413,0;623
S95831A;2410,0;624
S15200;2408,0;625
S81951;2407,331;626
17313;2405,0;627
S41548;2400,0;628
S11310;2399,072;629
15870;2399,0;630
51700;2397,881;631
50818;2394,0;632
S40933;2391,0;633
00835;2390,0;634
S15321;2385,0;635
S11320;2378,0;636
00907;2378,0;637
17308;2376,0;638
70957;2375,0;639
80955;2373,204;640
S12306;2370,0;641
60861;2369,768;642
70802;2369,0;643
37482;2360,0;644
S08305;2354,0;645
97480;2351,0;646
S08330;2349,387;647
50909;2349,232;648
80953;2346,771;649
16352;2345,0;650
S42850A;2342,0;651
S12307;2337,0;652
S10696;2330,0;653
17332;2328,0;654
85811;2321,092;655
73904;2319,0;656
15305;2317,0;657
17306;2315,0;658
00884;2312,0;659
90450;2309,0;660
18303;2306,0;661
50959;2304,24;662
67452;2301,0;663
20806;2299,17;664
S06178;2299,0;665
S08353;2298,0;666
S03210;2297,0;667
S80826A;2296,176;668
X0222F;2294,838;669
51571;2294,566;670
S09321;2294,0;671
80951;2288,258;672
16315;2285,0;673
90891;2284,946;674
S09308;2284,0;675
S08368;2274,11;676
12671;2274,0;677
S50995;2270,0;678
15329;2267,535;679
92630;2265,688;680
S55850;2262,248;681
32670;2261,0;682
S75833;2258,663;683
S05322;2258,26;684
16339;2254,0;685
97461;2254,0;686
02550;2252,0;687
17311;2250,0;688
45830;2249,795;689
90694;2249,0;690
S42855;2249,0;691
S12304;2245,0;692
S08309;2240,0;693
16316;2237,0;694
27473;2230,0;695
60739;2229,0;696
S11325;2227,0;697
14200;2222,0;698
10320;2221,0;699
61571;2220,0;700
50955;2216,0;701
95872;2215,455;702
16311;2215,0;703
S42830A;2214,0;704
21546;2213,0;705
07481;2212,0;706
S06326;2211,0;707
00909;2209,0;708
16201;2206,0;709
16351;2206,0;710
S09300;2204,335;711
DE81455;2202,0;712
S08314;2199,0;713
57482;2198,954;714
00601;2198,674;715
15319;2196,474;716
60811;2196,0;717
12820;2195,0;718
40859;2195,0;719
40645;2195,0;720
70972;2192,0;721
S09320;2191,0;722
S08322;2191,0;723
27471;2188,0;724
57485;2184,282;725
90968;2183,0;726
37486;2182,0;727
25870;2181,393;728
S09329;2179,0;729
S15205;2178,0;730
S15834;2176,75;731
S30837;2172,0;732
10817;2166,0;733
05110;2165,0;734
12328;2162,0;735
92857;2159,0;736
07965;2158,0;737
60931;2157,324;738
87477;2156,0;739
16317;2155,0;740
S90832A;2144,0;741
51610;2141,208;742
S09315;2140,0;743
S16344;2137,0;744
90897;2137,0;745
DE91452;2135,0;746
30670;2133,0;747
S90803A;2131,0;748
02570;2129,0;749
00750;2128,0;750
S12315;2128,0;751
05834;2127,0;752
95870;2125,0;753
90969;2125,0;754
77457;2124,0;755
70963;2123,0;756
00840;2123,0;757
S08347;2121,0;758
27480;2118,0;759
16334;2113,929;760
S81452;2111,0;761
X0200;2110,0;762
S60744;2108,0;763
45670;2106,0;764
10793;2105,0;765
S00935;2103,0;766
11929;2101,0;767
S10661A;2100,0;768
S09305;2099,335;769
S00939;2099,0;770
12672;2098,0;771
S17303;2092,0;772
90877;2092,0;773
S08337;2087,483;774
17316;2087,0;775
65871;2085,0;776
61810;2084,0;777
40811;2080,0;778
01553;2077,431;779
S20856;2077,0;780
70971;2073,968;781
S22837A;2071,0;782
S40956;2071,0;783
S40600;2068,0;784
S85834;2067,0;785
72693;2064,0;786
S09304;2057,0;787
S72834;2053,0;788
S09309;2046,0;789
S05125;2045,0;790
92831;2045,0;791
92670;2044,161;792
S10951A;2044,043;793
16330;2044,0;794
S20944;2041,0;795
12320;2038,0;796
53588;2037,0;797
09352;2037,0;798
S12301;2035,0;799
S08313;2033,0;800
37456;2033,0;801
01549;2033,0;802
S42849;2027,0;803
S08369;2027,0;804
15314;2023,0;805
43850;2023,0;806
S08346;2022,521;807
32834;2021,0;808
70835;2021,0;809
S08320;2021,0;810
82670;2015,0;811
S15300;2005,0;812
S10308;2004,0;813
70918;2000,11;814
S05312;2000,0;815
62691;2000,0;816
S90830A;1999,0;817
DE68934;1997,0;818
S05111;1996,0;819
S90870A;1995,0;820
93647;1994,0;821
05872;1993,045;822
80964;1987,0;823
92853;1987,0;824
51930;1986,0;825
15326;1985,0;826
80830;1982,0;827
50847;1982,0;828
90895;1982,0;829
15204;1979,451;830
30669;1971,0;831
20179;1971,0;832
72836;1970,0;833
S10303;1969,0;834
60914;1968,0;835
S41552;1968,0;836
S70692;1966,0;837
70950;1966,0;838
S03389;1965,0;839
97462;1964,215;840
53900;1964,0;841
50844;1962,0;842
S15201;1961,722;843
S11546A;1959,0;844
S16345;1956,0;845
97457;1953,0;846
70782;1952,0;847
32570;1951,0;848
70842;1950,0;849
70808;1943,0;850
S10319;1942,0;851
17321;1941,0;852
37457;1939,0;853
S10318;1935,0;854
20818;1932,478;855
62834;1932,0;856
41921;1930,138;857
15203;1929,0;858
60911;1928,0;859
S50796;1928,0;860
51951;1928,0;861
S06303;1921,0;862
S91465A;1920,0;863
17307;1920,0;864
61674;1920,0;865
70953;1920,0;866
30914;1918,0;867
S01740A;1916,356;868
18310;1914,0;869
92675;1914,0;870
S08364;1911,0;871
S22490A;1911,0;872
20830;1910,356;873
40858;1907,0;874
S60854;1907,0;875
70857;1905,0;876
00883;1905,0;877
S80819A;1898,0;878
40994;1897,0;879
70744;1897,0;880
S30900;1892,05;881
S13307;1891,0;882
S05326;1890,0;883
S81931;1889,0;884
70791;1888,0;885
S85811;1887,0;886
S70825B;1886,092;887
S05320;1886,0;888
80963;1883,0;889
S30902;1881,0;890
S80690A;1878,0;891
70783;1878,0;892
00902;1877,219;893
S12324;1876,0;894
S06306;1876,0;895
S92852;1874,0;896
S15835;1870,104;897
70822;1868,0;898
S06323;1867,0;899
S81450;1867,0;900
30835;1866,0;901
31915;1864,0;902
31919;1864,0;903
16323;1862,0;904
S81467;1859,0;905
61930;1857,17;906
18331;1857,0;907
17479;1856,0;908
50834;1855,0;909
07450;1853,0;910
15325;1853,0;911
S40911;1851,0;912
37481;1848,485;913
50902;1845,0;914
30690;1845,0;915
15315;1841,0;916
S41569;1838,0;917
S90695;1837,0;918
S80691;1837,0;919
S10309;1837,0;920
05850;1835,0;921
X0450;1834,0;922
50839;1833,0;923
10676;1832,24;924
DO11326;1827,0;925
S50832;1827,0;926
30895;1825,0;927
S21546;1822,076;928
S50461;1819,594;929
S05313;1819,113;930
S35831;1817,473;931
10871;1817,0;932
S15320;1816,0;933
61950;1812,0;934
S09303;1810,0;935
S71921A;1809,0;936
00950;1808,125;937
S50795;1807,0;938
20817;1805,0;939
77965;1800,0;940
S90846A;1796,0;941
27475;1794,0;942
S10310;1794,0;943
70811;1792,699;944
22817;1789,0;945
90868;1787,352;946
18418;1784,0;947
12327;1778,37;948
30675;1778,369;949
11549;1776,33;950
S11547A;1776,0;951
S06331;1775,0;952
01470;1774,197;953
27477;1772,0;954
40675;1772,0;955
18335;1771,0;956
50601;1768,0;957
00825;1767,0;958
S08376;1766,0;959
16328;1766,0;960
S08363;1765,0;961
07480;1762,0;962
45872;1761,016;963
S08327;1760,0;964
S04181;1755,0;965
S08312;1751,0;966
00991;1749,463;967
27478;1749,0;968
60961;1744,404;969
30913;1744,0;970
S30836;1743,0;971
40801;1742,0;972
S41465;1742,0;973
S22838A;1739,0;974
S15831A;1734,0;975
S08334;1734,0;976
S80990;1734,0;977
17317;1734,0;978
18333;1732,0;979
91545;1732,0;980
S70738;1725,246;981
18328;1725,0;982
18330;1722,0;983
14204;1721,0;984
10819;1720,0;985
02833;1718,0;986
S42818;1714,0;987
17459;1712,0;988
S32830;1711,0;989
X2444;1708,75;990
S05301;1708,0;991
S27625;1706,0;992
S10302;1706,0;993
S42852;1705,0;994
S03353;1701,0;995
02176;1701,0;996
90468;1700,0;997
S06106;1699,0;998
S50848;1696,0;999
11178;1695,0;1000
S03230;1695,0;1001
01930;1689,0;1002
15207;1687,0;1003
40601;1686,0;1004
55870;1685,0;1005
S08332;1685,0;1006
S06304;1684,0;1007
90863;1683,0;1008
11880;1683,0;1009
90682;1681,0;1010
90871;1678,0;1011
S30806;1676,0;1012
S12314;1675,0;1013
S05307;1675,0;1014
71894;1673,06;1015
S10837A;1673,0;1016
60880;1672,0;1017
16325;1670,0;1018
S41891;1669,929;1019
17480;1667,0;1020
S40958;1667,0;1021
70973;1666,0;1022
S42832A;1662,029;1023
S11312;1661,0;1024
47476;1660,08;1025
S01950;1659,0;1026
00868;1659,0;1027
S80942;1657,0;1028
80603;1656,0;1029
57450;1655,0;1030
15311;1652,282;1031
S80957;1651,1;1032
S17191;1651,0;1033
87482;1651,0;1034
85830;1650,459;1035
S06315;1650,0;1036
91915;1650,0;1037
70847;1649,0;1038
70920;1649,0;1039
35670;1646,08;1040
S21547;1643,0;1041
S08323;1641,498;1042
00836;1640,0;1043
80961;1638,0;1044
18315;1636,0;1045
00940;1635,0;1046
94811;1633,0;1047
77455;1633,0;1048
S10832;1632,378;1049
23496;1632,251;1050
S08319;1629,0;1051
87478;1629,0;1052
18415;1628,0;1053
94591;1626,0;1054
20317;1622,0;1055
70846;1622,0;1056
00826;1621,379;1057
10822;1618,0;1058
S80790A;1618,0;1059
80803;1615,0;1060
05126;1615,0;1061
40934;1614,0;1062
S50460;1614,0;1063
47458;1613,0;1064
70906;1611,0;1065
S06332;1609,182;1066
S97458;1609,0;1067
S06329;1607,0;1068
18307;1606,0;1069
S31465;1601,0;1070
S16314;1600,0;1071
S22833;1597,0;1072
20911;1596,0;1073
S09318;1596,0;1074
93495;1595,0;1075
83556;1594,0;1076
S62490;1594,0;1077
30684;1593,0;1078
53587;1591,0;1079
S06330;1589,0;1080
S06325;1589,0;1081
77456;1589,0;1082
37487;1582,0;1083
S06302;1582,0;1084
S00931;1581,0;1085
10843;1581,0;1086
12190;1580,0;1087
06198;1575,0;1088
72692;1575,0;1089
85835;1574,0;1090
20901;1572,0;1091
S20677;1572,0;1092
S11548;1572,0;1093
77450;1571,0;1094
10830;1571,0;1095
19202;1570,0;1096
47475;1570,0;1097
S05119;1570,0;1098
S08311;1569,162;1099
S70735;1569,0;1100
22671;1569,0;1101
S12312;1568,0;1102
20801;1568,0;1103
S11700;1567,165;1104
50845;1566,0;1105
52671;1566,0;1106
S80882;1565,0;1107
17328;1564,0;1108
S90853A;1564,0;1109
63645;1562,0;1110
S91005;1560,0;1111
S41890;1557,0;1112
S70833A;1556,0;1113
00827;1556,0;1114
S60912;1553,468;1115
80950;1553,093;1116
S70837;1553,0;1117
S08345;1553,0;1118
32811;1551,0;1119
S00937;1550,568;1120
S80794;1548,0;1121
S70962;1547,0;1122
60748;1545,0;1123
10791;1544,0;1124
32831;1543,0;1125
90821;1542,0;1126
10880;1541,0;1127
S11317;1539,0;1128
S41731;1538,0;1129
21314;1536,0;1130
14203;1536,0;1131
S17327;1535,0;1132
51782;1532,674;1133
17322;1531,0;1134
S15202;1531,0;1135
S81764;1528,021;1136
S50849;1528,0;1137
S05339;1526,0;1138
S05197;1525,0;1139
72550;1525,0;1140
S09333;1524,016;1141
52830;1523,0;1142
60630;1522,0;1143
32814;1521,0;1144
S08377;1520,562;1145
90811;1520,088;1146
S16321;1519,0;1147
06100;1518,0;1148
S21811;1518,0;1149
11179;1516,0;1150
93648;1513,0;1151
32672;1511,477;1152
80891;1511,0;1153
18336;1509,0;1154
17348;1506,0;1155
40800;1506,0;1156
S10192;1504,0;1157
DE10375;1503,655;1158
S10316;1503,0;1159
81780;1502,0;1160
S09193;1502,0;1161
13179;1501,0;1162
S10697;1500,0;1163
90896;1498,0;1164
S51927;1497,639;1165
70828;1496,0;1166
S90894;1496,0;1167
20802;1495,0;1168
10893;1495,0;1169
S08361;1493,0;1170
50817;1488,0;1171
17310;1487,0;1172
S08355;1486,0;1173
DE83645;1485,0;1174
70812;1483,977;1175
31920;1483,0;1176
21610;1482,0;1177
17312;1481,0;1178
S09317;1479,0;1179
16322;1479,0;1180
45001;1476,0;1181
63646;1475,988;1182
S70933;1474,0;1183
90663;1472,0;1184
S40844;1472,0;1185
X0234;1469,0;1186
16300;1468,0;1187
S90867A;1466,0;1188
07089;1465,0;1189
70796;1460,0;1190
16338;1457,0;1191
10958;1456,0;1192
00570;1455,699;1193
S62491;1455,0;1194
60845;1454,474;1195
S42856;1454,0;1196
27472;1454,0;1197
S70944;1453,785;1198
S08378;1453,0;1199
S80938;1451,044;1200
97475;1451,0;1201
S57486A;1450,0;1202
00817;1450,0;1203
80965;1450,0;1204
27464;1449,0;1205
37478;1449,0;1206
40870;1449,0;1207
37461;1447,995;1208
70901;1447,0;1209
50954;1445,157;1210
30683;1444,0;1211
30805;1442,0;1212
S80991;1442,0;1213
05149;1442,0;1214
10821;1441,0;1215
S75870;1440,0;1216
S20797;1438,0;1217
75830;1438,0;1218
15322;1436,755;1219
S90876A;1436,0;1220
10792;1436,0;1221
S15327;1435,0;1222
18308;1433,0;1223
ST92859;1432,0;1224
70967;1431,188;1225
S71610;1430,0;1226
53971;1430,0;1227
90951;1429,0;1228
S05136;1426,0;1229
51004;1426,0;1230
73841;1426,0;1231
S91741;1425,0;1232
60810;1424,0;1233
S04195;1419,0;1234
S01465;1419,0;1235
S70934;1418,23;1236
S08367;1417,0;1237
S40767A;1414,0;1238
90973;1413,0;1239
S09192A;1413,0;1240
DE51450;1412,0;1241
12323;1412,0;1242
15183;1410,0;1243
62674;1410,0;1244
30667;1408,0;1245
11308;1408,0;1246
75871;1407,082;1247
70914;1406,0;1248
S50453;1405,0;1249
70666;1404,0;1250
S31466;1402,0;1251
S82833;1400,0;1252
48929;1398,0;1253
90645;1398,0;1254
20316;1397,0;1255
S11532;1395,621;1256
18417;1395,0;1257
40648;1394,0;1258
40867;1393,0;1259
85832;1391,455;1260
15402;1390,0;1261
32671;1389,0;1262
S70964;1387,0;1263
18305;1386,0;1264
35710;1386,0;1265
S42813A;1385,0;1266
18324;1384,0;1267
20931;1383,0;1268
20680;1381,0;1269
70840;1380,0;1270
S31673;1380,0;1271
S40962;1379,0;1272
S40768A;1379,0;1273
S32493;1378,0;1274
21450;1378,0;1275
00956;1378,0;1276
00891;1377,484;1277
S50850;1376,0;1278
S50450;1376,0;1279
16301;1375,0;1280
98925;1375,0;1281
S70691A;1374,0;1282
S10193;1371,0;1283
80904;1371,0;1284
S80993;1368,249;1285
70917;1368,0;1286
S08358;1367,0;1287
S00953A;1366,06;1288
S91915;1365,0;1289
S21471;1361,0;1290
S08317;1360,0;1291
S09302;1359,0;1292
S17325;1357,0;1293
60698;1357,0;1294
S15337;1356,0;1295
15871;1355,0;1296
DE78925;1354,0;1297
S05308;1352,0;1298
S99342;1352,0;1299
S30581;1352,0;1300
S15307;1352,0;1301
S70739;1351,0;1302
02671;1350,0;1303
07488;1350,0;1304
S08374;1350,0;1305
61880;1349,093;1306
